Назва,Місто/район,Відходи І-ІV класів небезпеки - т,Відходи І-ІV класів небезпеки - % до 2018р.,У т.ч. І-ІІІ класів небезпеки - т,У т.ч. І-ІІІ класів небезпеки - % до 2018р.
м.Одеса,місто,390722.9,96.5,979.3,99.5
м.Балта,місто,69.2,95.5,0,40
м.Білгород-Дністровський,місто,10302.1,134.7,7,68.4
м.Біляївка,місто,2.1,71.6,0.1,
м.Ізмаїл,місто,3729.9,62.7,377.6,88.4
м.Чорноморськ,місто,19166.8,101,111.1,111.3
м.Подільськ,місто,154.3,39.9,43.4,
м.Теплодар,місто,4.1,5,,
м.Южне,місто,98704.5,57.9,232.8,114.5
Ананьївський,район,440.2,94.3,,
Арцизький,район,6617.6,97.5,1,23.4
Балтський,район,.9,130.4,1,153.1
Білгород-Дністровський,район,9012.9,85.6,11.6,129.9
Біляївський,район,2525.9,111,24.9,307.5
Березівський,район,1226,100.2,,
Болградський,район,1378.9,,0.3,
Великомихайлівський,район,1027.5,136.2,0.9,56.2
Іванівський,район,1194.3,95.6,0.1,9.9
Ізмаїльський,район,2845.2,101.7,5.5,126.2
Кілійський,район,10429.4,,7.1,108
Кодимський,район,91.4,104.6,0.5,100
Лиманський,район,27768.4,115.9,90.3,514.6
Подільський,район,9.9,87.3,0.9,68.7
Окнянський,район,37.5,99.5,0,100
Любашівський,район,944.1,66.9,3.2,470.4
Миколаївський,район,,,,
Овідіопольський,район,35464.8,117.5,44.9,120.9
Роздільнянський,район,903.6,7.4,0.7,87.8
Ренійський,район,3469.2,87.8,1.8,
Савранський,район,166.8,,6.3,161.7
Саратський,район,49.6,94.3,0.3,100.4
Тарутинський,район,8395.6,100.9,.3
Татарбунарський,район,250,192.3,,
Захарівський,район,426,160.8,,
Ширяївський,район,125,104.3,0.1,100
