, т"
Одеська область,88.50
м.Одеса,109.90
м.Балта,38.00
м.Білгород-Дністровський,69.80
м.Біляївка,102.40
м.Ізмаїл,41.90
м.Чорноморськ,99.20
м.Подольськ,23.70
м.Теплодар,79.60
м.Южне,120.60
райони,
Ананьївський,324.40
Арцизький,41.70
Балтський,0
Білгород-Дністровський,86.70
Біляївський,28.40
Березівський,15.50
Болградський,123.70
Великомихайлівський,86.90
Іванівський,64.50
Ізмаїльський,72.80
Кілійський,140.80
Кодимський,10.90
Лиманський,594.90
Подільський,0.30
Окнянський,93.20
Любашівський,65.20
Миколаївський,69.40
Овідіопольський,89.80
Роздільнянський,10.60
Ренійський,20.40
Савранський,116.00
Саратський,45.50
Тарутинський,0
Татарбунарський,35.70
Захарівський,
Ширяївський,101.60
